,n_models,instance,method,status,time,objective,message
0,3,0,direct,optimal,0.10065913200378418,198.49307121721895,
1,3,0,decomp,optimal,0.053420305252075195,198.49307121721898,
2,3,1,direct,optimal,0.1159353256225586,124.3633242745946,
3,3,1,decomp,optimal,0.06901264190673828,124.3633242745946,
4,3,2,direct,suboptimal,0.11589908599853516,59.9334003509188,
5,3,2,decomp,optimal,0.06251311302185059,59.93340035091881,
6,3,3,direct,optimal,0.08464765548706055,158.87580443465384,
7,3,3,decomp,optimal,0.06901264190673828,158.87580443465384,
8,3,4,direct,suboptimal,0.09477758407592773,173.41738923967952,
9,3,4,decomp,optimal,0.05342364311218262,173.41738923967924,
10,3,5,direct,suboptimal,0.10029125213623047,27.47516955106281,
11,3,5,decomp,optimal,0.078125,27.47516955106281,
12,3,6,direct,optimal,0.06901741027832031,217.6510161240374,
13,3,6,decomp,optimal,0.05337953567504883,217.6510161240374,
14,3,7,direct,optimal,0.11591625213623047,107.93372306493549,
15,3,7,decomp,optimal,0.04690837860107422,107.9337230649355,
16,3,8,direct,optimal,0.11590099334716797,156.22218300026844,
17,3,8,decomp,optimal,0.0533905029296875,156.2221830002684,
18,3,9,direct,suboptimal,0.08465170860290527,126.02498706433863,
19,3,9,decomp,optimal,0.04688739776611328,126.02498706433863,
20,4,0,direct,suboptimal,0.26305127143859863,75.43026262320252,
21,4,0,decomp,optimal,0.0624995231628418,75.43026262320241,
22,4,1,direct,optimal,0.31621623039245605,144.80078739956446,
23,4,1,decomp,optimal,0.0534214973449707,144.80078739956446,
24,4,2,direct,suboptimal,0.30072999000549316,60.48177011152703,
25,4,2,decomp,optimal,0.14713811874389648,60.481770111527034,
26,4,3,direct,suboptimal,0.28520679473876953,100.81070818376335,
27,4,3,decomp,optimal,0.06902194023132324,100.81070818376334,
28,4,4,direct,suboptimal,0.28270769119262695,151.713358820372,
29,4,4,decomp,optimal,0.062499046325683594,151.71335882037204,
30,4,5,direct,suboptimal,0.23610377311706543,126.44264384244322,
31,4,5,decomp,optimal,0.06250905990600586,126.44264384244349,
32,4,6,direct,optimal,0.39868593215942383,72.4324459859437,
33,4,6,decomp,optimal,0.06902098655700684,72.43244598594372,
34,4,7,direct,optimal,0.2786893844604492,148.7622068851192,
35,4,7,decomp,optimal,0.04687356948852539,148.76220688511881,
36,4,8,direct,suboptimal,0.3007066249847412,155.27351990115156,
37,4,8,decomp,optimal,0.06901860237121582,155.27351990115156,
38,4,9,direct,suboptimal,0.3008096218109131,141.4117593975304,
39,4,9,decomp,optimal,0.0635673999786377,141.4117593975304,
40,5,0,direct,suboptimal,0.2695770263671875,152.04728039313676,
41,5,0,decomp,optimal,0.08464956283569336,152.04728039313676,
42,5,1,direct,suboptimal,0.25394153594970703,72.59767401287496,
43,5,1,decomp,optimal,0.06901359558105469,72.59767401287498,
44,5,2,direct,suboptimal,0.2852013111114502,106.70076024258216,
45,5,2,decomp,optimal,0.06249809265136719,106.70076024258215,
46,5,3,direct,optimal,0.21617507934570312,59.895891017319656,
47,5,3,decomp,optimal,0.07813835144042969,59.895891017319656,
48,5,4,direct,suboptimal,0.3006422519683838,110.71519104761904,
49,5,4,decomp,optimal,0.06902480125427246,110.71519104761904,
50,5,5,direct,suboptimal,0.38549184799194336,68.39060787341366,
51,5,5,decomp,optimal,0.08463335037231445,68.39060787341366,
52,5,6,direct,optimal,0.26305270195007324,113.89371898009979,
53,5,6,decomp,optimal,0.05343270301818848,113.8937189800998,
54,5,7,direct,suboptimal,0.28521180152893066,145.68161757377536,
55,5,7,decomp,optimal,0.0846407413482666,145.68161757377536,
56,5,8,direct,suboptimal,0.3005990982055664,145.82645070891712,
57,5,8,decomp,optimal,0.08463931083679199,145.82645070891715,
58,5,9,direct,suboptimal,0.22418904304504395,76.53646471964804,
59,5,9,decomp,optimal,0.0846402645111084,76.53646471964804,
60,6,0,direct,suboptimal,0.40111875534057617,143.20988317703134,
61,6,0,decomp,optimal,0.08463692665100098,143.20988317703134,
62,6,1,direct,suboptimal,0.3697967529296875,145.63386030338748,
63,6,1,decomp,optimal,0.10025978088378906,145.63386030338748,
64,6,2,direct,suboptimal,0.38011717796325684,101.203954464782,
65,6,2,decomp,optimal,0.06900262832641602,101.203954464782,
66,6,3,direct,suboptimal,0.42070865631103516,136.94816755815987,
67,6,3,decomp,optimal,0.10026025772094727,136.94816755815987,
68,6,4,direct,optimal,0.44798874855041504,97.35247901098269,
69,6,4,decomp,optimal,0.0690302848815918,97.35247901098249,
70,6,5,direct,suboptimal,0.40085864067077637,168.90636276038686,
71,6,5,decomp,optimal,0.08464837074279785,168.90636276038686,
72,6,6,direct,suboptimal,0.7175207138061523,103.46650165300528,
73,6,6,decomp,optimal,0.0912482738494873,103.46650165300528,
74,6,7,direct,suboptimal,0.38297510147094727,61.528281704023804,
75,6,7,decomp,optimal,0.08464527130126953,61.528281704023804,
76,6,8,direct,suboptimal,0.38548707962036133,123.79186660688333,
